Region,Nukleinsyrapåvisning,Varav positiva utfall,Varav negativa,Varav ej bedömbara
Blekinge,2 728,393,2 295,40
Dalarna,5 955,485,5 465,5
Gotland,871,60,808,3
Gävleborg,5 259,546,4 713,0
Halland,9 414,1 169,8 227,18
Jämtland/ Härjedalen,3 452,247,3 163,42
Jönköping,6 987,1 065,5 913,9
Kalmar,4 962,567,4 385,10
Kronoberg,3 724,643,3 051,30
Norrbotten,5 034,712,4 304,18
Skåne,29 443,5 070,24 046,327
Stockholm,31 455,3 686,27 481,288
Sörmland,6 544,419,6 125,0
Uppsala,7 000,732,6 259,9
Värmland,4 253,272,3 921,60
Västerbotten,6 489,374,6 068,47
Västernorrland,4 028,513,3 470,45
Västmanland,5 013,565,4 368,80
Västra Götaland,35 738,4 315,31 417,6
Örebro,6 248,597,5 650,1
Östergötland,6 730,1 259,5 467,4
Övriga,1 861,0,1 856,5
Riket,193 188,23 689,168 452,1 047
